"","nearest_coarse_block","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours.x","total.eNumObs","total.eCount.x","avg.eCount","avg.eHours"
"1",1,"95B73",39.8125,-75.46875,0.737059833,NA,39.79166667,-75.4375,0.486418451,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,1,1,4693,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,"95B74",39.8125,-75.40625,0.235777069,NA,39.79166667,-75.4375,0.486418451,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,2,2,4691,0,0,0,0,0,0,0,0,0,0,0,0
"3",2,"96A16",39.89583333,-75.28125,0.061568464,15.83473325,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,3,3,4520,67,163.15,246.544,9.7315,124,0,67,163.15,124,0,0,42.5175
"4",2,"96B12",39.85416667,-75.28125,0.013559322,NA,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,4,4,4606,2,0.67,0.805,0,2,0,2,0.67,2,0,0,42.5175
"5",2,"96B11",39.85416667,-75.34375,0.385542169,NA,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,5,5,4607,0,0,0,0,0,0,0,0,0,0,0,42.5175
"6",2,"96A15",39.89583333,-75.34375,0.962348877,33.76339165,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,11,11,4521,4,6.25,5.633,0,3,0,4,6.25,3,0,0,42.5175
"7",3,"95A76",39.89583333,-75.40625,0.329932288,56.71844946,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,6,6,4522,0,0,0,0,0,0,0,0,0,0,0,0.8475
"8",3,"95A75",39.89583333,-75.46875,0.828050347,75.50239029,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,8,8,4524,0,0,0,0,0,0,0,0,0,0,0,0.8475
"9",3,"95B72",39.85416667,-75.40625,0.154101835,39.27231445,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,9,9,4608,0,0,0,0,0,0,0,0,0,0,0,0.8475
"10",3,"95B71",39.85416667,-75.46875,0.772835988,91.38401031,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,7,7,4610,26,3.39,0,0.2023,16,0,26,3.39,16,0,0,0.8475
"11",4,"95A71",39.97916667,-75.46875,0.80367719,98.67813704,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,10,10,4350,36,6.14,5.632,8.0936,76,0,36,6.14,76,0,0,11.1375
"12",4,"95A72",39.97916667,-75.40625,0.21219716,114.1420364,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,16,16,4348,0,0,0,0,0,0,0,0,0,0,0,11.1375
"13",4,"95A73",39.9375,-75.46875,0.771515183,103.0240261,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,17,17,4437,15,38.41,56.003,192.2257,21,0,15,38.41,21,0,0,11.1375
"14",4,"95A74",39.9375,-75.40625,0.475304623,78.6222665,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,18,18,4435,0,0,0,0,0,0,0,0,0,0,0,11.1375
"15",5,"96A13",39.9375,-75.34375,0.570258411,72.36285973,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,15,15,4434,0,0,0,0,0,0,0,0,0,0,0,0
"16",5,"96A11",39.97916667,-75.34375,0.231662859,98.9769907,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,12,12,4347,0,0,0,0,0,0,0,0,0,0,0,0
"17",5,"96A14",39.9375,-75.28125,0.645057448,45.17761072,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,13,13,4433,0,0,0,0,0,0,0,0,0,0,0,0
"18",5,"96A12",39.97916667,-75.28125,0.620584562,73.34358597,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,14,14,4346,0,0,0,0,0,0,0,0,0,0,0,0
