"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"1","95B73",39.8125,-75.46875,0.737059833,NA,39.79166667,-75.4375,0.486418451,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,1,1,4693,0,0,0,0,0,0,0,0,0,0
"2","96A16",39.89583333,-75.28125,0.061568464,15.83473325,39.875,-75.3125,0.355754708,24.79906245,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,2,2,4520,67,163.15,246.544,9.7315,124,0,18.25,42.5175,32.25,0
"3","95A76",39.89583333,-75.40625,0.329932288,56.71844946,39.875,-75.4375,0.521230115,65.71929113,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,3,3,4522,0,0,0,0,0,0,6.5,0.8475,4,0
"4","95A71",39.97916667,-75.46875,0.80367719,98.67813704,39.95833333,-75.4375,0.565673539,98.61661651,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,4,4,4350,36,6.14,5.632,8.0936,76,0,12.75,11.1375,24.25,0
"5","96A11",39.97916667,-75.34375,0.231662859,98.9769907,39.95833333,-75.3125,0.51689082,72.46526178,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,5,5,4347,0,0,0,0,0,0,0,0,0,0
"6","96B21",39.85416667,-75.21875,0.133333333,NA,39.875,-75.1875,0.365219638,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,6,6,4605,0,0,0,0,0,0,6,4.63333333333333,6.66666666666667,0
"7","96A22",39.97916667,-75.15625,0.370858434,NA,39.95833333,-75.1875,0.261895583,26.77130814,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,7,7,4344,2,2.58,3.619,0,9,0,6.5,6.9825,5.5,0
"8","96A31",39.97916667,-75.09375,0.051823417,NA,39.95833333,-75.0625,0.051823417,NA,39.83333333,-75.25,0.423311473,65.64658868,39.66666667,-75.5,0.521494786,111.3107502,8,8,4343,0,0,0,0,0,0,0,0,0,0
"9","95A65",39.89583333,-75.59375,0.60041269,97.6677146,39.875,-75.5625,0.397236705,102.2059597,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,9,9,4528,0,0,0,0,0,0,2.5,2.395,3.75,0
"10","95A63",39.9375,-75.59375,0.781020398,112.303389,39.95833333,-75.5625,0.412682548,119.5404979,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,10,10,4441,0,0,0,0,0,0,10.75,8.975,10,0
"11","95A55",39.89583333,-75.71875,0.72710214,121.7845404,39.875,-75.6875,0.652041611,108.576172,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,11,11,4532,0,0,0,0,0,0,14.5,28.8725,127.25,0
"12","94A41",39.97916667,-75.84375,0.832875789,161.2525722,39.95833333,-75.8125,0.585984192,141.8835105,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,12,12,4362,0,0,0,0,0,0,0,0,0,0
"13","95A52",39.97916667,-75.65625,0.322368732,97.26120853,39.95833333,-75.6875,0.443749571,99.12736687,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,13,13,4356,4,6.08,14.081,16.1876,9,0,2.25,2.8925,3.75,0
"14","94A45",39.89583333,-75.84375,0.904940588,138.8019257,39.875,-75.8125,0.59879464,132.9590624,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,14,14,4536,10,9.24,16.496,0,21,0,3,3.165,8.5,0
"15","94B32",39.85416667,-75.90625,0.98860917,178.7635975,39.875,-75.9375,0.739919354,158.3469118,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,15,15,4624,0,0,0,0,0,0,0.5,0.27,1,0
"16","94A32",39.97916667,-75.90625,0.794695714,181.8501565,39.95833333,-75.9375,0.805571028,184.612805,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,16,16,4364,6,16.42,14.485,2043.6625,14,0,3.25,9.125,5.25,0
"17","95B46",39.77083333,-75.78125,0.822381562,NA,39.79166667,-75.8125,0.62794763,116.88093,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,17,17,4779,3,3.42,0,20.2343,1,0,1.5,3.4175,0.75,0
"18","94B33",39.8125,-75.96875,0.376475159,161.3050671,39.79166667,-75.9375,0.629035974,148.8045745,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,18,18,4707,1,4,4.828,0,0,0,0.75,1.375,2,0
"19","95B53",39.8125,-75.71875,0.241828216,77.01293945,39.79166667,-75.6875,0.360680633,77.01293945,39.83333333,-75.75,0.575808959,131.0574146,39.66666667,-75.5,0.521494786,111.3107502,19,19,4699,29,99.66,75.643,839.7224,149,0,11.6666666666667,33.8466666666667,51,0
