Cell,BBA_ID,eLists,eHours,eKM,eHA,eNumObs,eCount
1,27C62,0,0,0,0,0,0
2,27C71,0,0,0,0,0,0
3,27C72,0,0,0,0,0,0
4,27C53,3,11.42,9.254,0,14,0
5,27C54,0,0,0,0,0,0
6,27C63,0,0,0,0,0,0
7,27C64,0,0,0,0,0,0
8,27C73,0,0,0,0,0,0
9,27C74,0,0,0,0,0,0
10,27C65,0,0,0,0,0,0
11,27C66,0,0,0,0,0,0
12,27C75,0,0,0,0,0,0
13,27C76,0,0,0,0,0,0
14,26D41,0,0,0,0,0,0
15,27D42,2,9,0,0.2023,4,0
16,27D51,0,0,0,0,0,0
17,27D52,1,0.08,0,0,2,0
18,27D61,0,0,0,0,0,0
19,27D62,0,0,0,0,0,0
20,27D71,0,0,0,0,0,0
21,27D72,0,0,0,0,0,0
22,26D34,0,0,0,0,0,0
23,26D43,3,5.25,3.701,0,2,0
24,27D44,2,2,1.609,0.8094,2,0
25,27D53,0,0,0,0,0,0
26,27D54,0,0,0,0,0,0
27,27D63,0,0,0,0,0,0
28,27D64,0,0,0,0,0,0
29,27D73,0,0,0,0,0,0
30,27D74,0,0,0,0,0,0
31,26D26,0,0,0,0,0,0
32,26D35,0,0,0,0,0,0
33,26D36,0,0,0,0,0,0
34,26D45,1,0.75,1.609,0,1,0
35,27D46,1,0.05,0,0,0,0
36,27D55,0,0,0,0,0,0
37,27D56,0,0,0,0,0,0
38,27D65,0,0,0,0,0,0
39,27D66,0,0,0,0,0,0
40,27D75,0,0,0,0,0,0
41,27D76,0,0,0,0,0,0
42,40A11,0,0,0,0,0,0
43,39A72,1,3,24.14,0,2,0
44,28A12,25,2.87,1.287,0,25,0
45,39A71,1,5,16.093,0,2,0
46,28A21,14,0.7,0,0,14,0
47,39A62,1,2,16.093,0,2,0
48,28A22,0,0,0,0,0,0
49,39A61,0,0,0,0,0,0
50,28A31,0,0,0,0,0,0
51,39A52,0,0,0,0,0,0
