"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"1",-75.46875,39.8125,1,1,1,1,1
"2",-75.40625,39.8125,2,2,1,1,1
"3",-75.28125,39.89583333,3,3,2,1,1
"4",-75.28125,39.85416667,4,4,2,1,1
"5",-75.34375,39.85416667,5,5,2,1,1
"6",-75.40625,39.89583333,6,6,3,1,1
"7",-75.46875,39.85416667,7,7,3,1,1
"8",-75.46875,39.89583333,8,8,3,1,1
"9",-75.40625,39.85416667,9,9,3,1,1
"10",-75.46875,39.97916667,10,10,4,1,1
"11",-75.34375,39.89583333,11,11,2,1,1
"12",-75.34375,39.97916667,12,12,5,1,1
"13",-75.28125,39.9375,13,13,5,1,1
"14",-75.28125,39.97916667,14,14,5,1,1
"15",-75.34375,39.9375,15,15,5,1,1
"16",-75.40625,39.97916667,16,16,4,1,1
"17",-75.46875,39.9375,17,17,4,1,1
"18",-75.40625,39.9375,18,18,4,1,1
"19",-75.21875,39.85416667,19,19,6,1,1
"20",-75.21875,39.89583333,20,20,6,1,1
"21",-75.15625,39.89583333,21,21,6,1,1
"22",-75.15625,39.97916667,22,22,7,1,1
"23",-75.09375,39.97916667,23,23,8,1,1
"24",-75.21875,39.9375,24,24,7,1,1
"25",-75.21875,39.97916667,25,25,7,1,1
"26",-75.15625,39.9375,26,26,7,1,1
"27",-75.59375,39.89583333,27,27,9,2,1
"28",-75.59375,39.9375,28,28,10,2,1
"29",-75.53125,39.97916667,29,29,10,2,1
"30",-75.59375,39.97916667,30,30,10,2,1
"31",-75.59375,39.85416667,31,31,9,2,1
"32",-75.71875,39.89583333,32,32,11,2,1
"33",-75.65625,39.89583333,33,33,11,2,1
"34",-75.71875,39.85416667,34,34,11,2,1
"35",-75.84375,39.97916667,35,35,12,2,1
"36",-75.53125,39.9375,36,36,10,2,1
"37",-75.65625,39.97916667,37,37,13,2,1
"38",-75.71875,39.9375,38,38,13,2,1
"39",-75.71875,39.97916667,39,39,13,2,1
"40",-75.65625,39.9375,40,40,13,2,1
"41",-75.53125,39.89583333,41,41,9,2,1
"42",-75.65625,39.85416667,42,42,11,2,1
"43",-75.53125,39.85416667,43,43,9,2,1
"44",-75.84375,39.89583333,44,44,14,2,1
"45",-75.90625,39.85416667,45,45,15,2,1
"46",-75.96875,39.85416667,46,46,15,2,1
"47",-75.90625,39.97916667,47,47,16,2,1
"48",-75.96875,39.97916667,48,48,16,2,1
"49",-75.96875,39.89583333,49,49,15,2,1
"50",-75.90625,39.89583333,50,50,15,2,1
"51",-75.78125,39.77083333,51,51,17,2,1
"52",-75.84375,39.77083333,52,52,17,2,1
"53",-75.96875,39.8125,53,53,18,2,1
"54",-75.90625,39.8125,54,54,18,2,1
"55",-75.90625,39.77083333,55,55,18,2,1
"56",-75.96875,39.77083333,56,56,18,2,1
"57",-75.84375,39.8125,57,57,17,2,1
"58",-75.78125,39.8125,58,58,17,2,1
"59",-75.71875,39.8125,59,59,19,2,1
"60",-75.65625,39.8125,60,60,19,2,1
"61",-75.84375,39.72916667,61,61,20,2,1
"62",-75.78125,39.72916667,62,62,20,2,1
"63",-75.78125,39.97916667,63,63,12,2,1
"64",-75.96875,39.9375,64,64,16,2,1
"65",-75.78125,39.9375,65,65,12,2,1
"66",-75.84375,39.9375,66,66,12,2,1
"67",-75.90625,39.9375,67,67,16,2,1
"68",-75.84375,39.85416667,68,68,14,2,1
"69",-75.78125,39.89583333,69,69,14,2,1
"70",-75.78125,39.85416667,70,70,14,2,1
"71",-75.71875,39.77083333,71,71,19,2,1
"72",-75.90625,39.72916667,72,72,21,2,1
"73",-75.96875,39.72916667,73,73,21,2,1
"74",-76.09375,39.89583333,74,74,22,3,2
"75",-76.15625,39.85416667,75,75,23,3,2
"76",-76.09375,39.85416667,76,76,22,3,2
"77",-76.15625,39.9375,77,77,24,3,2
"78",-76.21875,39.85416667,78,78,23,3,2
"79",-76.21875,39.89583333,79,79,23,3,2
"80",-76.28125,39.97916667,80,80,25,3,2
"81",-76.34375,39.97916667,81,81,25,3,2
"82",-76.34375,39.9375,82,82,25,3,2
"83",-76.28125,39.89583333,83,83,26,3,2
"84",-76.34375,39.85416667,84,84,26,3,2
"85",-76.28125,39.85416667,85,85,26,3,2
"86",-76.34375,39.89583333,86,86,26,3,2
"87",-76.40625,39.85416667,87,87,27,3,2
"88",-76.40625,39.89583333,88,88,27,3,2
"89",-76.15625,39.89583333,89,89,23,3,2
"90",-76.03125,39.89583333,90,90,22,3,2
"91",-76.03125,39.97916667,91,91,28,3,2
"92",-76.09375,39.9375,92,92,28,3,2
"93",-76.09375,39.97916667,93,93,28,3,2
"94",-76.21875,39.9375,94,94,24,3,2
"95",-76.15625,39.97916667,95,95,24,3,2
"96",-76.03125,39.9375,96,96,28,3,2
"97",-76.21875,39.97916667,97,97,24,3,2
"98",-76.03125,39.85416667,98,98,22,3,2
"99",-76.09375,39.8125,99,99,29,3,2
"100",-76.09375,39.77083333,100,100,29,3,2
"101",-76.21875,39.8125,101,101,30,3,2
"102",-76.21875,39.77083333,102,102,30,3,2
"103",-76.03125,39.77083333,103,103,29,3,2
"104",-76.03125,39.8125,104,104,29,3,2
"105",-76.03125,39.72916667,105,105,31,3,2
"106",-76.09375,39.72916667,106,106,31,3,2
"107",-76.15625,39.72916667,107,107,32,3,2
"108",-76.21875,39.72916667,108,108,32,3,2
"109",-76.15625,39.8125,109,109,30,3,2
"110",-76.15625,39.77083333,110,110,30,3,2
"111",-76.46875,39.77083333,111,111,33,3,2
"112",-76.40625,39.77083333,112,112,33,3,2
"113",-76.46875,39.8125,113,113,33,3,2
"114",-76.34375,39.8125,114,114,34,3,2
"115",-76.34375,39.77083333,115,115,34,3,2
"116",-76.46875,39.85416667,116,116,27,3,2
"117",-76.46875,39.89583333,117,117,27,3,2
"118",-76.46875,39.97916667,118,118,35,3,2
"119",-76.28125,39.9375,119,119,25,3,2
"120",-76.40625,39.97916667,120,120,35,3,2
"121",-76.40625,39.9375,121,121,35,3,2
"122",-76.46875,39.9375,122,122,35,3,2
"123",-76.40625,39.72916667,123,123,36,3,2
"124",-76.34375,39.72916667,124,124,37,3,2
"125",-76.28125,39.72916667,125,125,37,3,2
"126",-76.40625,39.8125,126,126,33,3,2
"127",-76.28125,39.8125,127,127,34,3,2
"128",-76.28125,39.77083333,128,128,34,3,2
"129",-76.46875,39.72916667,129,129,36,3,2
"130",-76.53125,39.89583333,130,130,38,4,2
"131",-76.59375,39.85416667,131,131,38,4,2
"132",-76.71875,39.85416667,132,132,39,4,2
"133",-76.71875,39.89583333,133,133,39,4,2
"134",-76.65625,39.89583333,134,134,39,4,2
"135",-76.65625,39.85416667,135,135,39,4,2
